Timestamp,BUS_Voltage(V),BUS_Current(A),BUS_Phase_Current(A),BUS_RoationSpeed(rpm)
1687768801.8307235,72.7,0.0,0.0,28800
1687768801.9307644,72.7,0.0,0.0,28800
1687768802.0307577,72.7,0.0,0.0,28800
1687768802.1307251,72.7,0.0,0.0,28800
1687768802.230777,72.7,0.0,0.0,28800
1687768802.3307645,72.7,0.0,0.0,28800
1687768802.4307644,72.7,0.0,0.0,28800
1687768802.5307684,72.7,0.0,0.0,28800
1687768802.6307864,72.7,0.0,0.0,28800
1687768802.7307217,72.7,0.0,0.0,28800
1687768802.8307667,72.7,0.0,0.0,28800
1687768802.9308004,72.7,0.0,0.0,28800
1687768803.0307596,72.7,0.0,0.0,28800
1687768803.1307278,72.7,0.0,0.0,28800
1687768803.230722,72.7,0.0,0.0,28800
1687768803.3307197,72.7,0.0,0.0,28800
1687768803.4307206,72.7,0.0,0.0,28800
1687768803.5307286,72.7,0.0,0.0,28800
1687768803.6307597,72.7,0.0,0.0,28800
1687768803.730721,72.7,0.0,0.0,28800
1687768803.8307664,72.7,0.0,0.0,28800
1687768803.9307668,72.7,0.0,0.0,28800
1687768804.0307693,72.7,0.0,0.0,28800
1687768804.1307364,72.7,0.0,0.0,28800
1687768804.230727,72.7,0.0,0.0,28800
1687768804.3307195,72.7,0.0,0.0,28800
1687768804.4307795,72.7,0.0,0.0,28800
1687768804.530749,72.7,0.0,0.0,28800
1687768804.630731,72.7,0.0,0.0,28800
1687768804.7307665,72.7,0.0,0.0,28800
1687768804.8307726,72.7,0.0,0.0,28800
1687768804.9308534,72.7,0.0,0.0,28800
1687768805.0306184,72.7,0.0,0.0,28800
1687768805.1306334,72.7,0.0,0.0,28800
1687768805.2306035,72.7,0.0,0.0,28800
1687768805.3306081,72.7,0.0,0.0,28800
1687768805.4306028,72.7,0.0,0.0,28800
1687768805.530602,72.7,0.0,0.0,28800
1687768805.630604,72.7,0.0,0.0,28800
1687768805.730734,72.7,0.0,0.0,28800
1687768805.8307734,72.7,0.0,0.0,28800
1687768805.9307787,72.7,0.0,0.0,28800
1687768806.030775,72.7,0.0,0.0,28800
1687768806.1307864,72.7,0.0,0.0,28800
1687768806.2307758,72.7,0.0,0.0,28800
1687768806.330769,72.7,0.0,0.0,28800
1687768806.4307475,72.7,0.0,0.0,28800
1687768806.530776,72.7,0.0,0.0,28800
1687768806.6307817,72.7,0.0,0.0,28800
1687768806.730729,72.7,0.0,0.0,28800
1687768806.8308167,72.7,0.0,0.0,28800
1687768806.9307332,72.7,0.0,0.0,28800
1687768807.0307677,72.7,0.0,0.0,28800
1687768807.1307373,72.7,0.0,0.0,28800
1687768807.2307386,72.7,0.0,0.0,28800
1687768807.3307793,72.7,0.0,0.0,28800
1687768807.4307718,72.7,0.0,0.0,28800
1687768807.5317912,72.7,0.0,0.0,28800
1687768807.6307464,72.7,0.0,0.0,28800
1687768807.7308624,72.7,0.0,0.0,28800
1687768807.8308423,72.7,0.0,0.0,28800
1687768807.930611,72.7,0.0,0.0,28800
1687768808.0306127,72.7,0.0,0.0,28800
1687768808.1306102,72.7,0.0,0.0,28800
1687768808.2306106,72.7,0.0,0.0,28800
1687768808.3306158,72.7,0.0,0.0,28800
1687768808.4306128,72.7,0.0,0.0,28800
1687768808.5306137,72.7,0.0,0.0,28800
1687768808.6307797,72.7,0.0,0.0,28800
1687768808.730782,72.7,0.0,0.0,28800
1687768808.8307822,72.7,0.0,0.0,28800
1687768808.930776,72.7,0.0,0.0,28800
1687768809.0307798,72.7,0.0,0.0,28800
1687768809.1307395,72.7,0.0,0.0,28800
1687768809.230758,72.7,0.0,0.0,28800
1687768809.3306139,72.8,0.0,0.0,28800
1687768809.4306145,72.7,0.0,0.0,28800
1687768809.5306122,72.7,0.0,0.0,28800
1687768809.6306102,72.7,0.0,0.0,28800
1687768809.7306118,72.7,0.0,0.0,28800
1687768809.8306115,72.7,0.0,0.0,28800
1687768809.9306111,72.7,0.0,0.0,28800
1687768810.0307794,72.7,0.0,0.0,28800
1687768810.1307487,72.7,0.0,0.0,28800
1687768810.2307458,72.7,0.0,0.0,28800
1687768810.3307445,72.7,0.0,0.0,28800
1687768810.4307947,72.8,-14.299999999999727,57.30000000000018,28800
1687768810.530781,72.7,-11.299999999999727,65.40000000000009,29005
1687768810.6307383,72.60000000000001,5.0,198.20000000000027,29100
1687768810.7307732,72.8,-18.09999999999991,-27.299999999999727,29532
1687768810.830738,72.8,-19.0,11.300000000000182,29492
1687768810.9307704,72.8,-18.0,3.300000000000182,29499
1687768811.0307395,72.8,-17.899999999999636,-3.899999999999636,29506
